Time	LIT0_freq	LIT1_freq	LIT2_freq	LIT3_freq	MID4_freq	MID5_freq	BIG6_freq	BIG7_freq	LIT0_util	LIT1_util	LIT2_util	LIT3_util	MID4_util	MID5_util	BIG6_util	BIG7_util	MIF_Freq	GPU_Freq	GPU_Load	BIG	MID	LITTLE	LIT_state	MID_state	BIG_state	GPU_state	TPU_state	batt_volt	batt_curr	LIT0_governer	LIT1_governer	LIT2_governer	LIT3_governer	MID4_governer	MID5_governer	BIG6_governer	BIG7_governer	EOL
0	300000	300000	300000	300000	400000	400000	500000	500000	14	12	13	14	10	9	4	4	1014000	202	5	38000	38000	38000	0	0	0	0	0	4160625	-3750	performance	performance	performance	performance	performance	performance	performance	performance	EOL
1	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	50	0	0	0	1014000	202	5	38000	38000	38000	0	0	0	0	0	4160625	-3750	performance	performance	performance	performance	performance	performance	performance	performance	EOL
2	300000	300000	300000	300000	400000	400000	500000	500000	0	100	0	0	0	0	0	0	1014000	202	5	38000	38000	38000	0	0	0	0	0	4160625	-3750	performance	performance	performance	performance	performance	performance	performance	performance	EOL
3	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	100	0	0	0	1014000	202	0	38000	38000	38000	0	0	0	0	0	4160625	-3750	performance	performance	performance	performance	performance	performance	performance	performance	EOL
4	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	100	0	0	0	1014000	202	0	38000	38000	38000	0	0	0	0	0	4160625	-3750	performance	performance	performance	performance	performance	performance	performance	performance	EOL
5	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	1014000	202	0	38000	38000	38000	0	0	0	0	0	4160625	-3750	performance	performance	performance	performance	performance	performance	performance	performance	EOL
6	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	1014000	202	0	38000	37000	38000	0	0	0	0	0	4159062	-3750	performance	performance	performance	performance	performance	performance	performance	performance	EOL
7	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	546000	202	0	37000	37000	38000	0	0	0	0	0	4159062	-3750	performance	performance	performance	performance	performance	performance	performance	performance	EOL
8	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	546000	202	0	37000	37000	38000	0	0	0	0	0	4159062	-13750	performance	performance	performance	performance	performance	performance	performance	performance	EOL
9	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	546000	202	0	37000	37000	38000	0	0	0	0	0	4159062	-13750	performance	performance	performance	performance	performance	performance	performance	performance	EOL
