Time	LIT0_freq	LIT1_freq	LIT2_freq	LIT3_freq	MID4_freq	MID5_freq	BIG6_freq	BIG7_freq	LIT0_util	LIT1_util	LIT2_util	LIT3_util	MID4_util	MID5_util	BIG6_util	BIG7_util	MIF_Freq	GPU_Freq	GPU_Load	BIG	MID	LITTLE	LIT_state	MID_state	BIG_state	GPU_state	TPU_state	batt_volt	batt_curr	LIT0_governer	LIT1_governer	LIT2_governer	LIT3_governer	MID4_governer	MID5_governer	BIG6_governer	BIG7_governer	LIT0_fw_freq	MID4_fw_freq	BIG6_fw_freq	EOL
0	1328000	1328000	1328000	1328000	1836000	1836000	500000	500000	37	36	36	35	28	26	11	10	546000	202	0	41000	43000	44000	0	0	0	0	0	4358125	662187	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1328000	1836000	500000	EOL
10	1197000	1197000	1197000	1197000	1197000	1197000	500000	500000	0	0	0	0	0	0	0	0	676000	202	0	41000	43000	44000	0	0	0	0	0	4358125	662187	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1197000	1197000	500000	EOL
20	1098000	1098000	1098000	1098000	1197000	1197000	500000	500000	0	0	0	0	0	0	0	0	546000	202	0	41000	42000	43000	0	0	0	0	0	4358125	662187	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1098000	1197000	500000	EOL
30	1098000	1098000	1098000	1098000	910000	910000	500000	500000	0	0	0	0	50	0	0	0	546000	202	0	41000	42000	42000	0	0	0	0	0	4358125	662187	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1098000	910000	500000	EOL
40	1098000	1098000	1098000	1098000	910000	910000	500000	500000	0	0	0	0	0	0	0	0	546000	202	0	41000	42000	42000	0	0	0	0	0	4358125	662187	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	574000	696000	500000	EOL
50	574000	574000	574000	574000	696000	696000	500000	500000	0	0	0	0	0	0	0	0	546000	202	0	41000	42000	41000	0	0	0	0	0	4358125	662187	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	574000	696000	500000	EOL
60	574000	574000	574000	574000	553000	553000	500000	500000	0	0	0	0	0	0	0	0	546000	202	0	41000	42000	41000	0	0	0	0	0	4358125	662187	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	574000	553000	500000	EOL
70	574000	574000	574000	574000	553000	400000	500000	500000	50	0	0	0	50	0	0	0	421000	202	0	41000	42000	41000	0	0	0	0	0	4358125	662187	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	300000	400000	500000	EOL
80	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	41000	41000	41000	0	0	0	0	0	4358125	662187	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	300000	400000	500000	EOL
90	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	41000	41000	41000	0	0	0	0	0	4358125	662187	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	300000	400000	500000	EOL
100	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	33	0	0	0	421000	202	0	41000	41000	41000	0	0	0	0	0	4358125	662187	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	300000	400000	500000	EOL
110	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	40000	41000	41000	0	0	0	0	0	4358125	662187	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	300000	400000	500000	EOL
120	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	50	0	0	0	421000	202	0	40000	41000	41000	0	0	0	0	0	4358125	662187	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	300000	400000	500000	EOL
130	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	40000	41000	41000	0	0	0	0	0	4358125	662187	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	300000	400000	500000	EOL
140	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	41000	41000	41000	0	0	0	0	0	4358125	662187	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	300000	400000	500000	EOL
150	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	40000	41000	41000	0	0	0	0	0	4358125	662187	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	574000	400000	500000	EOL
