Time	LIT0_freq	LIT1_freq	LIT2_freq	LIT3_freq	MID4_freq	MID5_freq	BIG6_freq	BIG7_freq	LIT0_util	LIT1_util	LIT2_util	LIT3_util	MID4_util	MID5_util	BIG6_util	BIG7_util	MIF_Freq	GPU_Freq	GPU_Load	BIG	MID	LITTLE	LIT_state	MID_state	BIG_state	GPU_state	TPU_state	batt_volt	batt_curr	LIT0_governer	LIT1_governer	LIT2_governer	LIT3_governer	MID4_governer	MID5_governer	BIG6_governer	BIG7_governer	EOL
0	300000	300000	300000	300000	400000	400000	500000	500000	22	24	25	23	14	13	4	4	1014000	202	0	40000	40000	40000	0	0	0	0	0	4251250	567187	performance	performance	performance	performance	performance	performance	performance	performance	EOL
10	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	50	0	0	0	1014000	202	0	39000	40000	40000	0	0	0	0	0	4251250	567187	performance	performance	performance	performance	performance	performance	performance	performance	EOL
20	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	1014000	202	0	39000	40000	40000	0	0	0	0	0	4251250	567187	performance	performance	performance	performance	performance	performance	performance	performance	EOL
30	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	546000	202	0	39000	40000	40000	0	0	0	0	0	4251250	567187	performance	performance	performance	performance	performance	performance	performance	performance	EOL
40	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	546000	202	0	39000	40000	39000	0	0	0	0	0	4251250	567187	performance	performance	performance	performance	performance	performance	performance	performance	EOL
50	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	33	0	0	0	546000	202	0	39000	40000	39000	0	0	0	0	0	4251250	567187	performance	performance	performance	performance	performance	performance	performance	performance	EOL
60	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	546000	202	0	39000	40000	39000	0	0	0	0	0	4251250	567187	performance	performance	performance	performance	performance	performance	performance	performance	EOL
70	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	39000	40000	40000	0	0	0	0	0	4251250	567187	performance	performance	performance	performance	performance	performance	performance	performance	EOL
80	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	50	0	0	0	421000	202	0	39000	40000	39000	0	0	0	0	0	4251250	567187	performance	performance	performance	performance	performance	performance	performance	performance	EOL
90	300000	300000	300000	300000	400000	400000	500000	500000	0	0	33	0	0	0	0	0	421000	202	0	39000	40000	39000	0	0	0	0	0	4251250	567187	performance	performance	performance	performance	performance	performance	performance	performance	EOL
100	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	39000	40000	39000	0	0	0	0	0	4251250	567187	performance	performance	performance	performance	performance	performance	performance	performance	EOL
110	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	39000	40000	39000	0	0	0	0	0	4251250	567187	performance	performance	performance	performance	performance	performance	performance	performance	EOL
120	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	50	0	0	0	421000	202	0	39000	40000	39000	0	0	0	0	0	4251250	567187	performance	performance	performance	performance	performance	performance	performance	performance	EOL
130	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	39000	40000	39000	0	0	0	0	0	4251250	567187	performance	performance	performance	performance	performance	performance	performance	performance	EOL
140	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	39000	40000	39000	0	0	0	0	0	4251250	567187	performance	performance	performance	performance	performance	performance	performance	performance	EOL
150	300000	300000	300000	300000	400000	400000	500000	500000	0	0	50	0	0	0	0	0	421000	202	0	39000	40000	39000	0	0	0	0	0	4251250	567187	performance	performance	performance	performance	performance	performance	performance	performance	EOL
160	300000	300000	300000	300000	400000	400000	500000	500000	0	0	100	0	0	0	0	0	421000	202	0	39000	40000	39000	0	0	0	0	0	4251250	567187	performance	performance	performance	performance	performance	performance	performance	performance	EOL
170	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	39000	40000	39000	0	0	0	0	0	4251250	567187	performance	performance	performance	performance	performance	performance	performance	performance	EOL
180	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	50	0	0	0	421000	202	0	39000	40000	39000	0	0	0	0	0	4266406	567187	performance	performance	performance	performance	performance	performance	performance	performance	EOL
190	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	50	0	0	0	421000	202	0	39000	39000	39000	0	0	0	0	0	4266406	760937	performance	performance	performance	performance	performance	performance	performance	performance	EOL
200	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	50	0	0	0	421000	202	0	39000	40000	39000	0	0	0	0	0	4266406	760937	performance	performance	performance	performance	performance	performance	performance	performance	EOL
210	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	50	0	0	0	421000	202	0	39000	40000	39000	0	0	0	0	0	4266406	760937	performance	performance	performance	performance	performance	performance	performance	performance	EOL
