Time	LIT0_freq	LIT1_freq	LIT2_freq	LIT3_freq	MID4_freq	MID5_freq	BIG6_freq	BIG7_freq	LIT0_util	LIT1_util	LIT2_util	LIT3_util	MID4_util	MID5_util	BIG6_util	BIG7_util	MIF_Freq	GPU_Freq	GPU_Load	BIG	MID	LITTLE	LIT_state	MID_state	BIG_state	GPU_state	TPU_state	batt_volt	batt_curr	LIT0_governer	LIT1_governer	LIT2_governer	LIT3_governer	MID4_governer	MID5_governer	BIG6_governer	BIG7_governer	LIT0_fw_freq	MID4_fw_freq	BIG6_fw_freq	EOL
0	1328000	1328000	1328000	1328000	2348000	2348000	2048000	2048000	7	4	5	6	4	3	0	0	2028000	202	0	38000	37000	38000	0	0	0	0	0	4325000	1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1328000	2348000	2048000	EOL
1	1328000	1328000	1328000	1328000	2348000	2348000	2048000	2048000	0	0	0	0	50	0	0	0	2028000	202	0	38000	37000	38000	0	0	0	0	0	4325000	1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1328000	2348000	2048000	EOL
2	1328000	1328000	1328000	1328000	2348000	2348000	2048000	2048000	0	0	0	0	0	0	0	0	1716000	202	0	38000	37000	38000	0	0	0	0	0	4325000	1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1328000	2348000	2048000	EOL
3	1328000	1328000	1328000	1328000	2348000	2348000	2048000	2048000	0	0	0	0	0	0	0	0	1716000	202	0	38000	37000	38000	0	0	0	0	0	4325000	1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1328000	2348000	2048000	EOL
4	1328000	1328000	1328000	1328000	2348000	2348000	2048000	2048000	0	0	0	0	0	0	0	0	1716000	202	0	38000	37000	38000	0	0	0	0	0	4325000	1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1328000	2348000	2048000	EOL
5	1328000	1328000	1328000	1328000	2348000	2348000	2048000	2048000	0	0	0	0	0	0	0	0	1716000	202	0	38000	38000	38000	0	0	0	0	0	4325000	1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1328000	2348000	2048000	EOL
6	1328000	1328000	1328000	1328000	2348000	2348000	2048000	2048000	0	0	0	0	0	0	0	0	1716000	202	0	37000	38000	38000	0	0	0	0	0	4325000	1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1328000	2348000	2048000	EOL
7	1328000	1328000	1328000	1328000	2348000	2348000	2048000	2048000	0	0	0	0	0	0	0	0	1716000	202	0	37000	38000	38000	0	0	0	0	0	4325000	1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1197000	1999000	2048000	EOL
8	1197000	1197000	1197000	1197000	1999000	1999000	2048000	2048000	0	0	0	0	0	0	0	0	1014000	202	0	37000	38000	38000	0	0	0	0	0	4325000	1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1098000	1999000	1106000	EOL
9	1098000	1098000	1098000	1098000	1999000	1999000	1106000	1106000	0	0	0	0	50	0	0	0	1014000	202	0	37000	38000	38000	0	0	0	0	0	4325000	1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1098000	1999000	1106000	EOL
10	1098000	1098000	1098000	1098000	1999000	1999000	1106000	1106000	0	0	0	0	0	0	0	0	1014000	202	0	37000	38000	38000	0	0	0	0	0	4325000	1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1098000	1999000	1106000	EOL
11	1098000	1098000	1098000	1098000	1999000	1999000	1106000	1106000	0	0	0	0	0	0	0	0	1014000	202	0	37000	38000	38000	0	0	0	0	0	4325000	1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1098000	1999000	1106000	EOL
12	1098000	1098000	1098000	1098000	1999000	1999000	1106000	1106000	0	0	0	0	0	0	0	0	1014000	202	0	37000	38000	38000	0	0	0	0	0	4325000	1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1098000	1999000	1106000	EOL
