Time	LIT0_freq	LIT1_freq	LIT2_freq	LIT3_freq	MID4_freq	MID5_freq	BIG6_freq	BIG7_freq	LIT0_util	LIT1_util	LIT2_util	LIT3_util	MID4_util	MID5_util	BIG6_util	BIG7_util	MIF_Freq	GPU_Freq	GPU_Load	BIG	MID	LITTLE	LIT_state	MID_state	BIG_state	GPU_state	TPU_state	batt_volt	batt_curr	LIT0_governer	LIT1_governer	LIT2_governer	LIT3_governer	MID4_governer	MID5_governer	BIG6_governer	BIG7_governer	LIT0_fw_freq	MID4_fw_freq	BIG6_fw_freq	EOL
0	1803000	1803000	1803000	1803000	2130000	2130000	1745000	1745000	7	4	5	6	4	3	0	0	1716000	202	0	40000	42000	43000	0	0	0	0	0	4324531	-5625	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	2130000	1745000	EOL
1	1803000	1803000	1803000	1803000	2130000	2130000	1745000	1745000	0	0	0	0	0	0	0	0	1716000	202	0	40000	42000	43000	0	0	0	0	0	4324531	-5625	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	2130000	1745000	EOL
2	1803000	1803000	1803000	1803000	2130000	2130000	1745000	1745000	100	0	0	0	0	0	0	0	2028000	202	0	40000	42000	43000	0	0	0	0	0	4324531	-5625	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	2130000	1745000	EOL
3	1803000	1803000	1803000	1803000	2130000	2130000	1745000	1745000	0	0	0	0	0	0	0	0	2028000	202	0	40000	43000	43000	0	0	0	0	0	4324531	-5625	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	2130000	1745000	EOL
4	1803000	1803000	1803000	1803000	2130000	2130000	1745000	1745000	0	0	0	0	0	0	0	0	2028000	202	0	40000	43000	43000	0	0	0	0	0	4324531	-5625	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	2130000	1745000	EOL
5	1803000	1803000	1803000	1803000	2130000	2130000	1745000	1745000	0	0	0	0	0	0	0	0	2028000	202	0	39000	43000	43000	0	0	0	0	0	4324531	-5625	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	2130000	1745000	EOL
6	1803000	1803000	1803000	1803000	2130000	2130000	500000	500000	0	0	0	100	0	0	0	0	1014000	202	0	39000	43000	43000	0	0	0	0	0	4324531	-5625	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	1836000	500000	EOL
7	1803000	1803000	1803000	1803000	1836000	1836000	500000	500000	100	0	0	0	0	0	0	0	1014000	202	0	39000	43000	43000	0	0	0	0	0	4324531	-5625	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	1836000	500000	EOL
8	1803000	1803000	1803000	1803000	1836000	1836000	500000	500000	0	0	0	0	0	0	0	0	1014000	202	0	39000	43000	43000	0	0	0	0	0	4324531	-5625	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	1836000	500000	EOL
9	1803000	1803000	1803000	1803000	1836000	1836000	500000	500000	0	0	0	0	0	0	0	0	1014000	202	0	39000	42000	42000	0	0	0	0	0	4324531	-5625	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	1836000	500000	EOL
10	1803000	1803000	1803000	1803000	1836000	1836000	500000	500000	0	0	0	0	0	0	0	0	1014000	202	0	39000	42000	42000	0	0	0	0	0	4324531	-5625	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	1836000	500000	EOL
11	1803000	1803000	1803000	1803000	1836000	1836000	500000	500000	100	0	0	0	0	0	0	0	1014000	202	0	39000	42000	42000	0	0	0	0	0	4324531	-5625	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	1836000	500000	EOL
12	1803000	1803000	1803000	1803000	1836000	1836000	500000	500000	0	0	0	0	0	0	0	0	1014000	202	0	39000	42000	42000	0	0	0	0	0	4324531	-5625	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	1836000	500000	EOL
13	1803000	1803000	1803000	1803000	1836000	1836000	500000	500000	0	0	0	0	0	0	0	0	1014000	202	0	39000	42000	42000	0	0	0	0	0	4324531	-5625	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	1836000	500000	EOL
14	1803000	1803000	1803000	1803000	1836000	1836000	500000	500000	0	0	0	0	0	0	0	0	1014000	202	0	39000	42000	42000	0	0	0	0	0	4324531	-5625	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	1663000	500000	EOL
15	1803000	1803000	1803000	1803000	1663000	1663000	500000	500000	0	0	0	0	50	0	0	0	845000	202	0	39000	42000	42000	0	0	0	0	0	4324531	-5625	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	1663000	500000	EOL
16	1803000	1803000	1803000	1803000	1663000	1663000	500000	500000	100	0	0	0	0	0	0	0	845000	202	0	39000	42000	42000	0	0	0	0	0	4324531	-5625	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	1663000	500000	EOL
17	1803000	1803000	1803000	1803000	1663000	1663000	500000	500000	0	0	0	0	0	0	0	0	845000	202	0	39000	42000	42000	0	0	0	0	0	4324531	-5625	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	1663000	500000	EOL
18	1803000	1803000	1803000	1803000	1663000	1663000	500000	500000	0	0	0	0	0	0	0	0	845000	202	0	39000	42000	42000	0	0	0	0	0	4324531	-5625	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	1663000	500000	EOL
19	1803000	1803000	1803000	1803000	1663000	1663000	500000	500000	100	0	0	0	0	0	0	0	1014000	202	0	39000	42000	42000	0	0	0	0	0	4324531	-5625	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	1663000	500000	EOL
20	1803000	1803000	1803000	1803000	1663000	1663000	500000	500000	0	0	0	0	0	0	0	0	1014000	202	0	39000	42000	42000	0	0	0	0	0	4324531	-5625	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	1663000	500000	EOL
21	1803000	1803000	1803000	1803000	1663000	1663000	500000	500000	0	0	0	0	0	0	0	0	1014000	202	0	39000	42000	42000	0	0	0	0	0	4324531	-5625	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	1663000	500000	EOL
22	1803000	1803000	1803000	1803000	1663000	1663000	500000	500000	0	0	0	0	0	0	0	0	1014000	202	0	39000	42000	42000	0	0	0	0	0	4324531	-5625	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	1328000	500000	EOL
23	1803000	1803000	1803000	1803000	1328000	1328000	500000	500000	0	0	0	0	50	0	0	0	1014000	202	0	39000	42000	42000	0	0	0	0	0	4324531	-5625	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	1328000	500000	EOL
24	1803000	1803000	1803000	1803000	1328000	1328000	500000	500000	100	0	0	0	0	0	0	0	845000	202	0	39000	42000	42000	0	0	0	0	0	4324531	-5625	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	1328000	500000	EOL
25	1803000	1803000	1803000	1803000	1328000	1328000	500000	500000	0	0	0	0	0	0	0	0	845000	202	0	39000	42000	42000	0	0	0	0	0	4324531	-5625	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	1328000	500000	EOL
26	1803000	1803000	1803000	1803000	1328000	1328000	500000	500000	0	0	0	0	0	0	0	0	845000	202	0	39000	42000	42000	0	0	0	0	0	4324531	-5625	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	1328000	500000	EOL
27	1803000	1803000	1803000	1803000	1328000	1328000	500000	500000	100	0	0	0	0	0	0	0	845000	202	0	39000	42000	42000	0	0	0	0	0	4323750	-5625	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	1328000	500000	EOL
28	1803000	1803000	1803000	1803000	1328000	1328000	500000	500000	0	0	0	0	0	0	0	0	845000	202	0	39000	42000	42000	0	0	0	0	0	4323750	-5625	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	1328000	500000	EOL
29	1803000	1803000	1803000	1803000	1328000	1328000	500000	500000	0	0	0	0	0	0	0	0	845000	202	0	39000	42000	42000	0	0	0	0	0	4323750	-5625	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	1197000	500000	EOL
