Time	LIT0_freq	LIT1_freq	LIT2_freq	LIT3_freq	MID4_freq	MID5_freq	BIG6_freq	BIG7_freq	LIT0_util	LIT1_util	LIT2_util	LIT3_util	MID4_util	MID5_util	BIG6_util	BIG7_util	MIF_Freq	GPU_Freq	GPU_Load	BIG	MID	LITTLE	LIT_state	MID_state	BIG_state	GPU_state	TPU_state	batt_volt	batt_curr	LIT0_governer	LIT1_governer	LIT2_governer	LIT3_governer	MID4_governer	MID5_governer	BIG6_governer	BIG7_governer	EOL
0	300000	300000	300000	300000	400000	400000	500000	500000	1	1	1	1	0	0	0	0	421000	202	4	35000	34000	34000	0	0	0	0	0	4134531	3437	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	EOL
1000	300000	300000	300000	300000	400000	400000	500000	500000	8	2	3	2	0	0	0	100	421000	202	4	35000	34000	34000	0	0	0	0	0	4135000	-7812	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	EOL
2000	300000	300000	300000	300000	400000	400000	500000	500000	10	2	4	3	1	4	1	100	421000	202	0	35000	34000	34000	0	0	0	0	0	4135312	-625	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	EOL
3000	300000	300000	300000	300000	400000	400000	500000	500000	8	3	2	2	2	0	0	100	421000	202	0	35000	34000	34000	0	0	0	0	0	4135156	-5625	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	EOL
4000	300000	300000	300000	300000	400000	400000	500000	500000	10	3	5	3	1	0	0	100	421000	202	0	35000	35000	34000	0	0	0	0	0	4135468	7500	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	EOL
5000	300000	300000	300000	300000	400000	400000	500000	500000	8	1	2	3	0	0	0	100	421000	202	0	35000	34000	34000	0	0	0	0	0	4134375	-9687	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	EOL
6000	300000	300000	300000	300000	400000	400000	500000	500000	7	0	0	1	0	0	0	100	421000	202	0	35000	34000	34000	0	0	0	0	0	4134375	-3750	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	EOL
7000	300000	300000	300000	300000	400000	400000	500000	500000	9	2	6	3	2	1	0	100	421000	202	0	35000	34000	34000	0	0	0	0	0	4135781	-4687	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	EOL
8000	300000	300000	300000	300000	400000	400000	500000	500000	8	0	4	2	0	0	0	100	421000	202	0	35000	34000	34000	0	0	0	0	0	4135312	4375	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	EOL
9000	300000	300000	300000	300000	400000	400000	500000	500000	8	2	2	3	2	1	0	100	421000	202	0	35000	34000	34000	0	0	0	0	0	4135312	1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	EOL
10000	300000	300000	300000	300000	400000	400000	500000	500000	7	1	2	4	2	2	4	100	421000	202	0	35000	34000	34000	0	0	0	0	0	4136718	-5625	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	EOL
11000	300000	300000	300000	300000	400000	400000	500000	500000	10	8	6	3	0	0	0	100	421000	202	0	35000	35000	35000	0	0	0	0	0	4136250	-7812	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	EOL
12000	300000	300000	300000	300000	400000	400000	500000	500000	6	7	2	2	3	0	0	100	421000	202	0	35000	34000	35000	0	0	0	0	0	4136250	1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	EOL
13000	300000	300000	300000	300000	400000	400000	500000	500000	8	0	2	2	2	1	3	100	421000	202	0	35000	34000	34000	0	0	0	0	0	4135156	3437	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	EOL
14000	300000	300000	300000	300000	400000	400000	500000	500000	7	0	2	1	1	0	0	100	421000	202	0	35000	34000	34000	0	0	0	0	0	4135781	7500	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	EOL
15000	300000	300000	300000	300000	400000	400000	500000	500000	7	1	1	1	0	0	0	100	421000	202	0	35000	35000	35000	0	0	0	0	0	4135625	2500	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	EOL
16000	300000	300000	300000	300000	400000	400000	500000	500000	8	1	2	3	1	1	3	100	421000	202	0	35000	35000	35000	0	0	0	0	0	4133906	312	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	EOL
17000	300000	300000	300000	300000	400000	400000	500000	500000	7	1	1	2	0	0	1	100	421000	202	0	35000	34000	35000	0	0	0	0	0	4134375	-2500	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	EOL
18000	300000	300000	300000	300000	400000	400000	500000	500000	7	2	2	3	1	0	0	100	421000	202	0	35000	35000	35000	0	0	0	0	0	4135781	-4687	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	EOL
19000	300000	300000	300000	300000	400000	400000	500000	500000	9	0	2	2	1	2	3	100	421000	202	0	35000	35000	35000	0	0	0	0	0	4135781	-10937	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	EOL
20000	300000	300000	300000	300000	400000	400000	500000	500000	7	0	1	1	0	0	0	100	421000	202	0	35000	35000	35000	0	0	0	0	0	4135468	-2500	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	EOL
21000	300000	300000	300000	300000	400000	400000	500000	500000	7	0	2	2	0	0	0	100	421000	202	0	35000	35000	35000	0	0	0	0	0	4135000	5625	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	EOL
22000	300000	300000	300000	300000	400000	400000	500000	500000	12	3	2	5	1	0	0	100	421000	202	0	35000	35000	35000	0	0	0	0	0	4136250	-2500	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	EOL
23000	300000	300000	300000	300000	400000	400000	500000	500000	9	0	2	1	0	0	0	100	421000	202	0	35000	35000	35000	0	0	0	0	0	4136093	-625	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	EOL
24000	300000	300000	300000	300000	400000	400000	500000	500000	7	0	1	2	0	0	0	100	421000	202	0	35000	35000	35000	0	0	0	0	0	4135625	2500	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	EOL
25000	300000	300000	300000	300000	400000	400000	500000	500000	7	2	5	3	0	0	0	100	421000	202	0	35000	34000	35000	0	0	0	0	0	4136093	-625	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	EOL
26000	300000	300000	300000	300000	400000	400000	500000	500000	8	1	5	3	3	0	0	100	421000	202	0	35000	35000	35000	0	0	0	0	0	4135000	-11875	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	EOL
27000	300000	300000	300000	300000	400000	400000	500000	500000	7	0	0	1	0	0	0	100	421000	202	0	35000	35000	35000	0	0	0	0	0	4137031	3437	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	EOL
28000	300000	300000	300000	300000	400000	400000	500000	500000	13	1	4	7	0	0	0	100	421000	202	0	35000	35000	35000	0	0	0	0	0	4137343	-1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	EOL
29000	300000	300000	300000	300000	400000	400000	500000	500000	7	0	2	2	2	2	4	100	421000	202	0	35000	34000	35000	0	0	0	0	0	4134531	-2500	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	EOL
30000	300000	300000	300000	300000	400000	400000	500000	500000	7	2	2	2	0	0	0	100	421000	202	0	35000	35000	35000	0	0	0	0	0	4135781	5625	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	EOL
